Part,Section,Content
Introductory,Section 1,"Short title, extent, and commencement. Repealed by Repealing and Amending Act, 1945."
Definitions,Section 2,"Definitions: (a) 'arbitration agreement', (b) 'award', (c) 'Court', (d) 'legal representative', (e) 'reference'."
Arbitration Without Intervention Of A Court,Section 3,"Provisions implied in arbitration agreement (as per First Schedule) unless otherwise expressed."
Arbitration Without Intervention Of A Court,Section 4,"Agreement for arbitrator appointment by a third party."
Arbitration Without Intervention Of A Court,Section 5,"Authority of arbitrator/umpire irrevocable except by Court’s leave."
Arbitration Without Intervention Of A Court,Section 6,"Arbitration agreement not discharged by death of a party; enforceable against legal representatives."
Arbitration Without Intervention Of A Court,Section 7,"Provisions in insolvency: arbitration terms enforceable if receiver adopts the contract."
Arbitration Without Intervention Of A Court,Section 8,"Court’s power to appoint arbitrator/umpire if parties fail to concur or vacancies arise."
Arbitration Without Intervention Of A Court,Section 9,"Appointment of new arbitrator/sole arbitrator if one party defaults."
Arbitration Without Intervention Of A Court,Section 10,"Rules for three or more arbitrators: majority award or umpire’s decision prevails."
Arbitration Without Intervention Of A Court,Section 11,"Court may remove arbitrator/umpire for delay/misconduct; no remuneration if removed."
Arbitration Without Intervention Of A Court,Section 12,"Court’s power to fill vacancies after removal/revocation of arbitrator’s authority."
Arbitration Without Intervention Of A Court,Section 13,"Arbitrator’s powers: administer oaths, state special cases, correct clerical errors, etc."
Arbitration Without Intervention Of A Court,Section 14,"Procedure for signing, filing, and notifying parties of the award."
Arbitration Without Intervention Of A Court,Section 15,"Court may modify/correct awards for matters not referred, imperfections, or clerical errors."
Arbitration Without Intervention Of A Court,Section 16,"Court may remit award for reconsideration if undetermined/indeterminate or legality objections."
Arbitration Without Intervention Of A Court,Section 17,"Judgment in terms of award; decree follows with limited appeal grounds."
Arbitration Without Intervention Of A Court,Section 18,"Court’s power to pass interim orders to prevent obstruction of award execution."
Arbitration Without Intervention Of A Court,Section 19,"Court may supersede arbitration if award becomes void/set aside."
Arbitration With Intervention Of A Court,Section 20,"Application to file arbitration agreement in Court; procedure for reference."
Arbitration In Suits,Section 21,"Parties to suit may apply for reference to arbitration before judgment."
Arbitration In Suits,Section 22,"Manner of arbitrator appointment as agreed by parties."
Arbitration In Suits,Section 23,"Court specifies time for award; restricts Court’s interference post-reference."
Arbitration In Suits,Section 24,"Partial reference to arbitration if separable; suit continues for non-joining parties."
Arbitration In Suits,Section 25,"Provisions of other chapters apply; Court may supersede arbitration in specified cases."
General,Section 26,"Chapter V applies to all arbitrations unless otherwise provided."
General,Section 27,"Arbitrators may make interim awards unless agreement states otherwise."
General,Section 28,"Court may extend time for making award; contractual time-extension clauses void."
General,Section 29,"Court may order interest on awarded money from decree date."
General,Section 30,"Grounds for setting aside award: misconduct, invalidity, or improper procurement."
General,Section 31,"Jurisdiction: award filed in relevant Court; exclusive jurisdiction over validity questions."
General,Section 32,"Bar on suits contesting arbitration agreements/awards; remedies limited to Act’s provisions."
General,Section 33,"Contesting arbitration agreement/award via Court application; evidence procedures."
General,Section 34,"Stay of legal proceedings if arbitration agreement exists; applicant must be ready for arbitration."
General,Section 35,"Legal proceedings do not invalidate reference/award unless proceedings cover entire subject matter."
General,Section 36,"Court may negate award-as-precondition clauses if agreement ceases to apply."
General,Section 37,"Limitation Act applies to arbitrations; deemed commencement of arbitration."
General,Section 38,"Disputes over arbitrator’s fees/costs: Court may order payment and refund balance."
Appeals,Section 39,"Appealable orders: superseding arbitration, modifying awards, staying proceedings, etc. No second appeal."
Miscellaneous,Section 40,"Small Cause Court jurisdiction limited to specific applications."
Miscellaneous,Section 41,"Code of Civil Procedure applies; Court’s powers mirror Second Schedule."
Miscellaneous,Section 42,"Service of notices via delivery/post if no agreement provision."
Miscellaneous,Section 43,"Court processes for witness/party appearance; penalties for non-compliance."
Miscellaneous,Section 44,"High Court’s rule-making authority for arbitration procedures."
Miscellaneous,Section 45,"Act binding on Government."
Miscellaneous,Section 46,"Application to statutory arbitrations, excluding specific sections."
Miscellaneous,Section 47,"Act applies to all arbitrations unless inconsistent with other laws."
Miscellaneous,Section 48,"Savings for pending references pre-commencement of Act."
Miscellaneous,Section 49,"Repeals and amendments (repealed by 1945 Act)."
Schedules,First Schedule,"Implied conditions: sole arbitrator, time limits for awards, finality of awards, cost discretion, etc."
